,balance,equity,balance_btc,equity_btc
0,400.2322136480001,400.0,0.0,0.0
60,400.2322136480001,399.9021836480001,0.0,-0.33003000000000415
120,400.2276013980001,399.7985636480001,0.0,-0.4336500000000025
180,400.2276013980001,400.3302713980001,0.0,0.10266999999999518
240,400.6420697380001,400.1523313980001,0.0,-0.07527000000000639
300,400.7627697600001,399.9108197380001,0.0,-0.7312500000000012
360,400.7384692780001,399.39707976000005,0.0,-1.3656900000000012
420,400.7384692780001,399.66627927800005,0.0,-1.0721899999999949
480,400.7384692780001,400.0521692780001,0.0,-0.6862999999999803
540,400.7384692780001,398.9892792780001,0.0,-1.7491899999999805
600,400.7384692780001,400.30942927800004,0.0,-0.4290400000000026
660,402.8999916780001,402.7515812160001,0.0,-0.15084000000000797
720,403.07329538000005,402.56425167800006,0.0,-0.33574000000000787
780,403.07329538000005,402.30777538,0.0,-0.7655200000000075
840,403.07329538000005,402.29097538,0.0,-0.7823200000000131
900,404.39071708,401.88777538000005,0.0,-1.1855200000000135
960,404.92387014799993,403.84771708,0.0,-0.5429999999999964
1020,404.91913694799996,404.0215001479999,0.0,-0.9023699999999972
1080,404.91913694799996,404.36810694799993,0.0,-0.5510299999999938
1140,404.902677172,404.635966948,0.0,-0.2831699999999935
1200,405.810206572,404.440667172,0.0,-0.4620099999999896
1260,406.161626022,402.260006572,0.0,-3.5502000000000016
1320,406.889131302,400.265426022,0.0,-5.896199999999999
1380,406.87949904600003,397.23462695,0.0,-9.652059999999992
1440,407.60455661400005,400.2088190460001,0.0,-6.670679999999999
1500,407.60455661400005,399.76235661400005,0.0,-7.842199999999995
1560,407.60455661400005,397.3321566140001,0.0,-10.272399999999989
1620,407.60455661400005,397.86847661400003,0.0,-9.736079999999987
1680,407.59737331800005,399.31821661400005,0.0,-8.286340000000003
1740,408.3229162620001,399.83361331800006,0.0,-7.763759999999987
1800,408.3229162620001,400.1584362620001,0.0,-8.164479999999998
1860,408.3157306620001,401.33163626200013,0.0,-6.991279999999992
1920,408.3157306620001,400.5435506620001,0.0,-7.772179999999984
1980,408.3157306620001,403.7220706620001,0.0,-4.5936599999999945
2040,408.3157306620001,403.88863066200014,0.0,-4.427099999999989
2100,409.0412698620001,404.4230106620001,0.0,-3.892720000000001
2160,409.0412698620001,400.3371098620001,0.0,-8.704159999999998
2220,409.0412698620001,402.5075298620001,0.0,-6.5337399999999946
2280,409.0340822460001,402.0633898620001,0.0,-6.977880000000001
2340,409.0340822460001,404.9058422460001,0.0,-4.128240000000011
2400,409.0340822460001,403.53866224600006,0.0,-5.4954200000000055
2460,409.0340822460001,405.2667222460001,0.0,-3.7673600000000143
2520,409.0340822460001,404.2326622460001,0.0,-4.801419999999996
2580,409.0340822460001,405.8080422460001,0.0,-3.2260399999999936
2640,409.0340822460001,407.0780622460001,0.0,-1.9560199999999948
2700,409.0340822460001,406.6339022460001,0.0,-2.4001799999999953
2760,409.00923355200007,406.9184422460001,0.0,-2.1156399999999924
2820,411.22617681200006,408.4081535520001,0.0,-0.6010800000000054
2880,413.4426242040001,410.0378968120001,0.0,-1.1882800000000038
2940,413.4426242040001,412.9272242040001,0.0,-0.5154000000000011
3000,415.512815042,413.0184242040001,0.0,-0.4242000000000033
3060,415.508018586,415.319315042,0.0,-0.19350000000000023
3120,415.508018586,415.170588586,0.0,-0.337430000000006
3180,415.68424924399994,415.253238586,0.0,-0.254780000000007
3240,415.68424924399994,414.953439244,0.0,-0.7308099999999843
3300,417.047214432,415.01643924399997,0.0,-0.6678099999999969
3360,417.172457098,417.13741443199996,0.0,0.09020000000000006
3420,417.167670148,416.387857098,0.0,-0.7846000000000032
3480,417.598420986,416.878580148,0.0,-0.2890900000000082
3540,417.593639856,417.03382098599997,0.0,-0.5646000000000043
3600,418.519321736,417.345349856,0.0,-0.2482900000000104
3660,418.511942924,415.57904173599997,0.0,-2.9402799999999973
3720,419.25645205999996,416.738932924,0.0,-1.773009999999997
3780,419.43003172399995,416.36849205999994,0.0,-2.8879599999999974
3840,422.456674278,413.6106317239999,0.0,-5.819399999999992
3900,422.90006385,422.443864278,0.0,-0.012810000000002299
3960,422.89513904999995,422.78586384999994,0.0,-0.11420000000000062
4020,423.09189012199994,422.60203905,0.0,-0.29309999999999914
4080,423.08436607399995,422.62825012199994,0.0,-0.46363999999999683
4140,423.08436607399995,423.12484607399995,0.0,0.040480000000004734
4200,423.650249618,422.91199823799997,0.0,-0.6164199999999979
4260,423.650249618,423.21178961799995,0.0,-0.4384600000000016
4320,424.08805761799994,423.03694961799994,0.0,-0.6133000000000015
4380,424.08319133799995,423.32012761799996,0.0,-0.767929999999998
4440,424.08319133799995,423.77963133799994,0.0,-0.30355999999999933
4500,424.06626598799994,423.9253313379999,0.0,-0.15785999999999967
4560,425.457974692,424.64926598799997,0.0,0.5830000000000126
4620,425.457974692,424.90005469199997,0.0,-0.5579199999999984
4680,425.453049512,425.281564692,0.0,-0.17641000000000065
4740,426.19438035400003,425.765059512,0.0,0.31201000000000323
4800,426.19438035400003,426.50572035400006,0.0,0.31134000000000317
4860,427.598737742,427.01412035400006,0.0,0.8197400000000128
4920,427.598737742,427.47511774200007,0.0,-0.12361999999999887
4980,427.8515585040001,427.466517742,0.0,-0.1322199999999991
5040,427.84659889400007,427.0266285040001,0.0,-0.8249299999999946
5100,427.84659889400007,427.1672088940001,0.0,-0.6793900000000015
5160,428.29336401600006,427.32473889400006,0.0,-0.5218600000000018
5220,429.09619455800004,427.11431401600004,0.0,-1.1790499999999955
5280,429.07881215800006,423.999814558,0.0,-5.096380000000003
5340,430.63200392600004,426.0464321580001,0.0,-3.0323800000000136
5400,430.89322272600003,423.34493392600007,0.0,-7.287069999999991
5460,431.155247714,421.1372627260001,0.0,-9.75595999999999
5520,431.132848406,416.65532771399995,0.0,-14.499920000000008
5580,431.132848406,420.391448406,0.0,-10.741399999999995
5640,431.132848406,420.192458406,0.0,-10.940389999999995
5700,431.132848406,420.910028406,0.0,-10.222819999999997
5760,431.132848406,420.180398406,0.0,-10.952449999999995
5820,432.820746618,420.178388406,0.0,-10.954459999999997
5880,433.260352954,416.826566618,0.0,-15.99418
5940,433.82583784799994,414.786262954,0.0,-18.474089999999993
6000,434.535440524,414.68102784799987,0.0,-19.144810000000096
6060,434.668608256,399.37373052399994,0.0,-35.161710000000085
6120,434.799488498,397.99473825599995,0.0,-36.67387000000007
6180,434.774644992,393.327418498,0.0,-41.472070000000045
6240,434.774644992,419.5526649919999,0.0,-15.221980000000103
6300,436.807297572,411.14488499199985,0.0,-23.629760000000143
6360,436.78457497399995,398.5565875719999,0.0,-38.25071000000006
6420,438.2314379019999,419.1436549739998,0.0,-17.640920000000122
6480,438.9463332519999,402.24209790199984,0.0,-35.989340000000084
6540,438.9237560279999,388.15886325199983,0.0,-50.78747000000005
6600,438.9237560279999,403.56034602799986,0.0,-35.36341000000007
6660,440.3660627179999,410.22986602799983,0.0,-28.693890000000035
6720,440.81875648399995,400.13007271799984,0.0,-40.23599000000009
6780,441.040853548,387.9873364839999,0.0,-52.831420000000065
6840,445.19055652799983,420.93860484799984,0.0,-18.899501282668574
6900,445.95467275599987,444.42235652799985,0.0,-0.7682000000000063
6960,446.35129634599986,444.88197275599987,0.0,-1.0726999999999944
7020,448.91385229599985,446.9553467299998,0.0,0.611939999999971
7080,451.42957798399993,447.31943229599983,0.0,-1.5944199999999957
7140,452.9111075219999,451.40917798399994,0.0,-0.020400000000005886
7200,453.8290774759999,452.11842752199993,0.0,-0.7926799999999927
7260,453.8290774759999,451.70541747599987,0.0,-2.1236600000000205
7320,458.8552658859999,452.4104074759999,0.0,-1.4186700000000172
7380,461.9392632159999,452.0974158859999,0.0,-6.757850000000011
7440,463.8495431759999,455.42927321599996,0.0,-6.5099899999999655
7500,465.0729646839998,454.9189386139999,0.0,-8.925289999999984
7560,465.5516225219998,451.54494468399986,0.0,-13.528019999999978
7620,467.49308980799975,452.87942190999973,0.0,-12.666799999999979
7680,467.9454616559998,447.6869298079998,0.0,-19.806159999999977
7740,467.9454616559998,451.7729716559998,0.0,-16.172489999999993
7800,469.6167435799998,452.0241916559998,0.0,-15.92126999999999
7860,471.2778550919998,451.26645357999985,0.0,-18.350289999999987
