,balance,equity,balance_btc,equity_btc
0,400.335160102,400.0,0.0,0.0
60,400.335160102,399.587840102,0.0,-0.7473200000000016
120,400.335160102,399.507980102,0.0,-0.8271800000000004
180,400.335160102,399.92059010199995,0.0,-0.414569999999999
240,400.335160102,399.57332010199997,0.0,-0.7618400000000022
300,400.335160102,399.31559010199993,0.0,-1.019569999999999
360,400.542417506,398.928390102,0.0,-1.4067699999999994
420,400.542417506,398.879377506,0.0,-1.6630400000000005
480,400.542417506,398.94777750599997,0.0,-1.5946399999999978
540,400.542417506,398.75937750599996,0.0,-1.783039999999998
600,400.542417506,398.99337750599994,0.0,-1.5490400000000017
660,400.535625536,399.388177506,0.0,-1.154240000000001
720,400.535625536,399.71129553599997,0.0,-0.824330000000007
780,400.535625536,399.67097553599996,0.0,-0.864650000000007
840,400.535625536,399.670135536,0.0,-0.8654900000000073
900,400.535625536,399.649975536,0.0,-0.8856500000000074
960,401.43668628800003,399.82154553600003,0.0,-0.7140800000000073
1020,401.43668628800003,399.741246288,0.0,-1.6954400000000003
1080,401.42986404000004,399.89244628800003,0.0,-1.5442399999999987
1140,401.42986404000004,400.50568404,0.0,-0.9241800000000109
1200,401.7703236760001,400.46652404,0.0,-0.9633400000000101
1260,406.2392201245111,400.35361367600007,0.0,-1.4167099999999977
1320,406.2392201245111,405.39845627,0.0,-0.8407638545111259
1380,406.2392201245111,401.94402627,0.0,-4.295193854511123
1440,406.2392201245111,404.52473627,0.0,-1.7144838545111303
1500,413.2501170641275,403.68337627,0.0,-2.555843854511124
1560,413.2501170641275,413.11042032000006,0.0,-0.13969674412743216
1620,413.2501170641275,413.2077003200001,0.0,-0.042416744127432085
1680,414.0479134960001,413.47066032000004,0.0,0.2205432558725653
1740,414.1828458080001,413.9882334960001,0.0,-0.059680000000000955
1800,414.1828458080001,414.5195058080001,0.0,0.33665999999999485
1860,415.5084137160001,414.6875058080001,0.0,0.5046599999999956
1920,415.5031101120001,415.32194371600013,0.0,-0.18647000000000144
1980,415.5031101120001,415.0882601120001,0.0,-0.4148500000000028
2040,415.5031101120001,415.0587401120001,0.0,-0.44437000000000393
2100,415.8998627760001,414.9640301120001,0.0,-0.5390800000000017
2160,415.8998627760001,415.76048277600006,0.0,-0.13938000000000034
2220,415.8998627760001,415.7164527760001,0.0,-0.1834100000000004
2280,415.89457316400006,415.7254627760001,0.0,-0.17440000000000028
2340,415.89457316400006,415.5042531640001,0.0,-0.39031999999999634
2400,415.89457316400006,415.74656316400007,0.0,-0.14800999999999737
2460,415.89457316400006,415.4402931640001,0.0,-0.4542799999999958
2520,415.89457316400006,415.6235631640001,0.0,-0.2710099999999991
2580,416.1106848220001,415.34435316400004,0.0,-0.5502199999999995
2640,416.1106848220001,415.1384048220001,0.0,-0.9722799999999995
2700,416.1106848220001,415.2164848220001,0.0,-0.8941999999999993
2760,416.1106848220001,415.16646482200014,0.0,-0.9442199999999997
2820,416.1106848220001,415.17256482200014,0.0,-0.9381199999999966
2880,416.1106848220001,415.17256482200014,0.0,-0.9381199999999966
2940,416.1106848220001,414.6943248220001,0.0,-1.4163599999999958
3000,416.1106848220001,414.76386482200013,0.0,-1.3468199999999977
3060,416.1106848220001,414.95784482200014,0.0,-1.152839999999999
3120,416.1106848220001,415.6752048220001,0.0,-0.43547999999999787
3180,416.1036046480001,415.5593048220001,0.0,-0.5513799999999964
3240,416.1036046480001,415.8733746480001,0.0,-0.23023000000000093
3300,416.1036046480001,415.8762246480001,0.0,-0.22738000000000147
3360,417.0427000900001,415.93417464800007,0.0,-0.16943000000000147
3420,417.0427000900001,415.93498009000007,0.0,-1.1077199999999978
3480,417.0427000900001,416.3253800900001,0.0,-0.7173199999999975
3540,417.0427000900001,416.1118800900001,0.0,-0.9308199999999983
3600,417.43484349800013,416.48398009000005,0.0,-0.5587199999999987
3660,417.8250070460001,416.46161349800013,0.0,-0.9732300000000035
3720,418.3667394680001,417.2241470460001,0.0,-0.6008600000000032
3780,418.3442078720001,417.3989994680001,0.0,-0.9677400000000033
3840,426.1431971080001,414.7668278720001,0.0,-3.5773800000000118
3900,426.28691001600004,426.0222471080001,0.0,-0.1209500000000007
3960,426.58396156400005,426.28118001600006,0.0,-0.005730000000000859
4020,426.7245896020001,426.351081564,0.0,-0.23288000000000056
4080,426.72153481800007,426.5635896020001,0.0,-0.16100000000000048
4140,427.6769539400001,427.45753481800006,0.0,0.7359999999999953
4200,427.6769539400001,427.3395739400001,0.0,-0.3373800000000064
4260,427.6769539400001,427.4697739400001,0.0,-0.2071800000000059
4320,427.6769539400001,427.12009394000006,0.0,-0.5568600000000059
4380,427.6769539400001,427.26765394000006,0.0,-0.4093000000000062
4440,428.0852402440001,427.69669394000005,0.0,0.019739999999993887
4500,428.4875107420001,427.9389102440001,0.0,-0.14633000000000043
4560,428.4820846020001,428.2740107420001,0.0,-0.21349999999999958
4620,428.4820846020001,428.0016246020001,0.0,-0.48046000000000477
4680,428.8907987440001,428.3029446020001,0.0,-0.17914000000000657
4740,429.03250510000015,428.6935887440001,0.0,-0.19721000000000066
4800,429.03250510000015,428.9033751000001,0.0,-0.1291300000000039
4860,429.03250510000015,429.05589510000016,0.0,0.02338999999999896
4920,429.02700166200015,429.22563510000015,0.0,0.19312999999999664
4980,429.9974267040002,429.39439166200015,0.0,0.3673899999999984
5040,429.9974267040002,429.2498767040002,0.0,-0.7475499999999984
5100,429.9974267040002,429.1357967040002,0.0,-0.8616300000000012
5160,430.22046957400016,429.4668767040002,0.0,-0.530550000000002
5220,430.66385067200014,429.0262347020001,0.0,-1.192129999999999
5280,430.65652141600015,428.17008067200015,0.0,-2.493770000000002
5340,431.62906180000016,428.6079914160002,0.0,-2.0485299999999937
5400,431.8532187600002,428.74028180000016,0.0,-2.8887799999999992
5460,432.07761412400015,428.3335687600002,0.0,-3.519649999999998
5520,432.0702711540001,427.52642412400013,0.0,-4.551190000000002
5580,432.0702711540001,428.2231711540001,0.0,-3.8470999999999855
5640,432.0244100200002,428.2588111540001,0.0,-3.8114599999999856
5700,435.0403560240002,428.36454002000016,0.0,-3.6598700000000055
5760,435.0403560240002,428.5188060240002,0.0,-6.521550000000014
5820,435.2638642960002,428.5129460240002,0.0,-6.52741000000002
5880,435.4873686480002,424.3707742960002,0.0,-10.893090000000017
5940,436.39125293200027,422.2997986480002,0.0,-13.187570000000015
6000,436.53622983600025,419.56408293200025,0.0,-16.827170000000017
6060,436.76277300600026,398.63077983600033,0.0,-37.90544999999994
6120,436.76277300600026,397.60308300600036,0.0,-39.15968999999993
6180,436.69182305800024,393.62328300600035,0.0,-43.13948999999991
6240,436.69182305800024,420.3232930580003,0.0,-16.368530000000003
6300,438.65650181000024,407.3957030580002,0.0,-29.296120000000066
6360,435.3580894084496,391.06108181000025,0.0,-47.59541999999997
6420,433.4580972264857,418.3557647720002,0.0,-16.01145304006287
6480,433.6798365244857,401.94257149200024,0.0,-31.51552573448547
6540,433.67243570848575,388.62121079000025,0.0,-45.058625734485446
6600,426.68513139474976,402.9692799740003,0.0,-30.703155734485467
6660,429.9117057467497,409.04589826600017,0.0,-17.639233128749574
6720,430.8731591067497,400.4563526180001,0.0,-29.455353128749625
6780,426.4385994324751,389.7783059780001,0.0,-41.09485312874959
6840,427.1290875758497,416.6002356540002,0.0,-13.219509999999955
6900,427.09966009584974,409.77619304600034,0.0,-17.35289452984937
6960,427.09966009584974,386.8104155660003,0.0,-40.28924452984941
7020,409.4197937419486,380.1748655660003,0.0,-46.92479452984946
7080,407.0621749762061,399.3781071180004,0.0,-10.041686623948149
7140,409.03652825814345,393.7638022220005,0.0,-13.298372754205596
