,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,HYPE,0.0,-0.0028440880000000003,399.997155912,0.0,399.997155912,1.0,0.58,24.518,0.58,24.518,entry_initial_normal_long
1,2,HYPE,0.0,-0.0019614400000000005,399.995194472,0.0,399.995194472,1.0,-0.4,24.518,-0.4,24.518,entry_initial_normal_short
2,8,HYPE,0.14383999999999858,-0.0028728559999999996,400.136161616,0.0,400.136161616,1.0,-0.58,24.766,0.0,24.518,close_grid_long
3,9,HYPE,0.0,-0.0028624159999999996,400.13329919999995,0.0,400.13329919999995,1.0,0.58,24.676,0.58,24.676,entry_initial_normal_long
4,13,HYPE,0.0,-0.0050573120000000004,400.12824188799993,0.0,400.12824188799993,1.0,1.04,24.314,1.62,24.443604938271605,entry_grid_cropped_long
5,39,HYPE,0.21080000000000043,-0.0019192800000000002,400.33712260799996,0.0,400.33712260799996,1.0,0.4,23.991,0.0,24.518,close_grid_short
6,41,HYPE,0.0,-0.0019625059999999997,400.335160102,0.0,400.335160102,1.0,-0.41,23.933,-0.41,23.933,entry_initial_normal_short
7,362,HYPE,0.21115000000000023,-0.0019202759999999998,400.544389826,0.0,400.544389826,1.0,0.41,23.418,0.0,23.933,close_grid_short
8,363,HYPE,0.0,-0.00197232,400.542417506,0.0,400.542417506,1.0,-0.42,23.48,-0.42,23.48,entry_initial_normal_short
9,664,HYPE,0.0,-0.00679197,400.535625536,0.0,400.535625536,1.0,-1.41,24.085,-1.83,23.946147540983603,entry_grid_inflated_short
10,967,HYPE,0.9116099999999921,-0.008581968,401.438653568,0.0,401.438653568,1.0,1.83,23.448,0.0,23.946147540983603,close_grid_short
11,968,HYPE,0.0,-0.0019672800000000005,401.43668628800003,0.0,401.43668628800003,1.0,-0.42,23.42,-0.42,23.42,entry_initial_normal_short
12,1116,HYPE,0.0,-0.0068222479999999995,401.42986404000004,0.0,401.42986404000004,1.0,-1.42,24.022,-1.84,23.884586956521733,entry_grid_inflated_short
13,1257,HYPE,0.3926799999999999,-0.007998264000000001,401.81454577600005,0.0,401.81454577600005,1.0,-1.62,24.686,0.0,24.443604938271605,close_grid_long
14,1257,HYPE,0.0,-0.0225301,401.79201567600006,0.0,401.79201567600006,1.0,4.57,24.65,4.57,24.65,entry_trailing_normal_long
15,1257,HYPE,0.0,-0.021692000000000003,401.7703236760001,0.0,401.7703236760001,1.0,-4.4,24.65,-6.24,24.42430128205128,entry_trailing_normal_short
16,1264,HYPE,1.0465300000000126,-0.022739406000000004,402.7941142700001,0.0,402.7941142700001,1.0,-4.57,24.879,0.0,24.65,close_grid_long
17,1279,HYPE,0.0,-0.075199424,402.7189148460001,0.0,402.7189148460001,1.0,-14.93,25.184,-21.17,24.960073689182803,entry_trailing_normal_short
18,1309,HYPE,3.584883854511061,-0.064578576,406.2392201245111,0.0,406.2392201245111,1.0,13.08,24.686,-8.09,24.960073689182803,close_grid_short
19,1526,HYPE,0.0,-0.09941643000000001,406.1398036945111,0.0,406.1398036945111,1.0,-19.35,25.689,-27.44,25.474094247284583,entry_trailing_normal_short
20,1529,HYPE,2.5076976749167983,-0.06532352000000001,408.5821778494279,0.0,408.5821778494279,1.0,12.92,25.28,-14.52,25.474094247284583,close_grid_short
21,1533,HYPE,4.733225214699587,-0.06528600000000001,413.2501170641275,0.0,413.2501170641275,1.0,13.0,25.11,-1.52,25.474094247284583,close_grid_short
22,1696,HYPE,0.0,-0.0029243600000000004,413.2471927041275,0.0,413.2471927041275,1.0,0.58,25.21,0.58,25.21,entry_initial_normal_long
23,1704,HYPE,0.8103032558725678,-0.007582064,414.0499138960001,0.0,414.0499138960001,1.0,1.52,24.941,0.0,25.474094247284583,close_grid_short
24,1705,HYPE,0.0,-0.0020004000000000003,414.0479134960001,0.0,414.0479134960001,1.0,-0.4,25.005,-0.4,25.005,entry_initial_normal_short
25,1770,HYPE,0.14789999999999942,-0.00295394,414.1928595560001,0.0,414.1928595560001,1.0,-0.58,25.465,0.0,25.21,close_grid_long
