,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,HYPE,0.0,-0.0024027640000000004,399.997597236,0.0,399.997597236,1.0,0.49,24.518,0.49,24.518,entry_initial_normal_long
1,2,HYPE,0.0,-0.0018633680000000002,399.995733868,0.0,399.995733868,1.0,-0.38,24.518,-0.38,24.518,entry_initial_normal_short
2,34,HYPE,0.12463999999999978,-0.0018384400000000004,400.11853542800003,0.0,400.11853542800003,1.0,0.38,24.19,0.0,24.518,close_grid_short
3,35,HYPE,0.0,-0.0018872880000000002,400.11664814000005,0.0,400.11664814000005,1.0,-0.39,24.196,-0.39,24.196,entry_initial_normal_short
4,39,HYPE,0.0,-0.007065702000000001,400.1095824380001,0.0,400.1095824380001,1.0,1.47,24.033,1.96,24.15425,entry_grid_normal_long
5,40,HYPE,0.12636000000000064,-0.0018620160000000002,400.2340804220001,0.0,400.2340804220001,1.0,0.39,23.872,0.0,24.196,close_grid_short
6,41,HYPE,0.0,-0.0018667740000000003,400.2322136480001,0.0,400.2322136480001,1.0,-0.39,23.933,-0.39,23.933,entry_initial_normal_short
7,150,HYPE,0.0,-0.00461225,400.2276013980001,0.0,400.2276013980001,1.0,-0.95,24.275,-1.34,24.175462686567162,entry_grid_normal_short
8,241,HYPE,0.4227199999999976,-0.00639448,400.6439269180001,0.0,400.6439269180001,1.0,1.34,23.86,0.0,24.175462686567162,close_grid_short
9,244,HYPE,0.0,-0.0018571800000000002,400.6420697380001,0.0,400.6420697380001,1.0,-0.39,23.81,-0.39,23.81,entry_initial_normal_short
10,345,HYPE,0.12440999999999963,-0.0018322980000000002,400.7646474400001,0.0,400.7646474400001,1.0,0.39,23.491,0.0,23.81,close_grid_short
11,346,HYPE,0.0,-0.0018776800000000003,400.7627697600001,0.0,400.7627697600001,1.0,-0.4,23.471,-0.4,23.471,entry_initial_normal_short
12,399,HYPE,0.0,-0.024300482000000005,400.7384692780001,0.0,400.7384692780001,1.0,5.21,23.321,7.17,23.548778242677823,entry_grid_cropped_long
13,660,HYPE,2.2027800000000197,-0.03420950400000001,402.9070397740001,0.0,402.9070397740001,1.0,-7.17,23.856,0.0,23.548778242677823,close_grid_long
14,660,HYPE,0.0,-0.004618558,402.9024212160001,0.0,402.9024212160001,1.0,-0.97,23.807,-1.37,23.70889781021897,entry_grid_normal_short
15,661,HYPE,0.0,-0.0024295379999999997,402.8999916780001,0.0,402.8999916780001,1.0,0.51,23.819,0.51,23.819,entry_initial_normal_long
16,723,HYPE,0.19431000000000012,-0.0024684000000000004,403.0918332780001,0.0,403.0918332780001,1.0,-0.51,24.2,0.0,23.819,close_grid_long
17,724,HYPE,0.0,-0.0024187,403.08941457800006,0.0,403.08941457800006,1.0,0.5,24.187,0.5,24.187,entry_initial_normal_long
